# Format: SubmissionID,StudentUsername,ObtainedMarks
CSC103_BCS-1C_Assignment1,FA25-BCS-107,12.0
CSC103_BCS-1C_Assignment1,FA25-BCS-108,12.0
CSC103_BCS-1C_Assignment1,FA25-BCS-109,14.0
CSC103_BCS-1C_Assignment1,FA25-BCS-111,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-112,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-114,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-115,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-116,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-117,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-118,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-119,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-120,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-122,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-123,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-125,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-127,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-128,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-129,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-133,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-134,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-135,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-136,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-137,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-138,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-141,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-142,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-143,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-144,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-145,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-146,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-147,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-148,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-149,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-150,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-151,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-154,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-155,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-157,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-158,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-159,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-160,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-161,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-163,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-164,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-165,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-166,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-168,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-169,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-171,0.0
CSC103_BCS-1C_Assignment1,FA25-BCS-172,0.0
